# nanotube RBM modes
# 22/7/2007
,1.89RBM,1.90RBM,1.91RBM,1.92RBM,1.93RBM
148.1966,0.2367,0.2517219888888883,0.21072104102564054,0.16261578378378386,0.21413308684210502
148.5666,0.23206,0.25223544864864894,0.21515360000000108,0.16174710526315791,0.22027767631578926
148.9266,0.22308,0.2402332666666662,0.21450754594594476,0.17132147692307728,0.21825078750000004
149.2866,0.24926,0.24683974054054053,0.19701135135135123,0.17934486315789472,0.21864042631578942
149.6566,0.23797,0.25108,0.2117224108108108,0.18230630270270262,0.22249033783783767
150.0166,0.23923,0.25494858378378377,0.21584154324324367,0.19122098378378397,0.22376
150.3866,0.2367,0.248992455555556,0.2334296243243251,0.1982484000000006,0.22208820263157905
150.7466,0.24525,0.2507977333333334,0.2220135405405406,0.18594833513513542,0.22234177837837837
151.1066,0.24525,0.24813253333333346,0.22262654594594572,0.17323335789473615,0.21818973684210582
151.4766,0.25739,0.23925703783783786,0.24544902972972965,0.18224408648648657,0.2082347263157897
151.8366,0.22868,0.2406085621621623,0.2526781783783783,0.18066218378378376,0.20543580250000001
152.0166,0.23227,0.24446360000000034,0.2511311513513513,0.18158164324324325,0.20683530250000004
152.1966,0.24346,0.2500035999999995,0.24905989459459507,0.1836933894736835,0.20670610789473687
152.5666,0.24029,0.2638098378378378,0.2364141108108109,0.1938,0.2013878540540543
152.9266,0.24019,0.27092150000000015,0.23425046216216225,0.19340797894736778,0.19245354999999995
153.2866,0.22108,0.2744394054054053,0.22497802972972958,0.17380692631578942,0.18868214210526324
153.6566,0.22509,0.2860883000000001,0.2377434615384614,0.17800460540540544,0.18737273783783787
154.0166,0.2367,0.2894464108108107,0.2376530162162162,0.17472693333333403,0.19083644210526274
154.3766,0.2347,0.27082320000000054,0.23758,0.1699239157894737,0.18167955789473683
154.7466,0.2593,0.2667196864864862,0.22650839999999967,0.17063450810810812,0.1838456050000002
155.1066,0.28474,0.27013679999999995,0.23183667027027016,0.16810379459459474,0.19135859999999974
155.4666,0.27904,0.2662308864864865,0.23749952222222173,0.15646953684210535,0.20073958918918955
155.8366,0.23248,0.2691582444444447,0.24688226216216233,0.15102471351351351,0.21731911052631542
156.1966,0.27006,0.27216,0.23528945945946023,0.14655982702702727,0.20066437368421064
156.5566,0.2613,0.2674656444444444,0.23281172702702702,0.15359633684210516,0.20957418421052676
156.9266,0.26035,0.2809227027027026,0.21721541351351265,0.13726197948717864,0.21069
157.2866,0.26098,0.27208981052631565,0.22091234594594603,0.1323399789473685,0.20887324999999998
157.6466,0.26098,0.2694144421052632,0.22277849189189186,0.15130764324324453,0.21342891315789475
158.0166,0.25834,0.268126789189189,0.22011724864864854,0.16594622702702727,0.21658995714285842
158.3766,0.25011,0.2732785333333334,0.21156312972972993,0.17389612631578955,0.2360409263157892
158.5566,0.25591,0.2797246054054053,0.2093145162162162,0.17878972972972973,0.24124476216216204
158.7366,0.25972,0.2698343351351348,0.21197559729729734,0.179032972972973,0.24485449189189215
159.1066,0.26595,0.2480068888888896,0.2392088135135108,0.1769627675675677,0.23883995526315852
159.4666,0.23807,0.2351879459459459,0.24908791282051287,0.1747,0.22847024736842125
159.8266,0.23966,0.23191709999999993,0.2574832648648654,0.174784972972973,0.22425032702702702
160.1966,0.22868,0.2271847135135139,0.25571978378378457,0.17950553513513476,0.22963849210526252
160.5566,0.21622,0.2271754702702703,0.24228860810810837,0.16987338947368422,0.22818128684210534
160.9166,0.21009,0.24910057777777694,0.23696,0.17704766153846133,0.21780856000000018
161.2766,0.1893,0.260711037837838,0.2356806702702702,0.18613492631578965,0.21368261621621631
161.6466,0.20418,0.26414564444444494,0.23855051081081102,0.1927065837837838,0.2163888447368418
162.0066,0.19774,0.2786549081081081,0.23018320000000103,0.19377521081081073,0.2303657657894739
162.3666,0.22076,0.2771172777777778,0.23348211891891893,0.18718646315789456,0.22777282162162163
162.7366,0.23807,0.27593,0.24193562500000024,0.18428960000000041,0.235224402631579
163.0966,0.24842,0.2788181666666667,0.25342354864864863,0.19009731891891893,0.24445661842105237
163.4566,0.23913,0.2646654270270264,0.26208895945945954,0.19171920000000015,0.25454
163.8266,0.23871,0.2542398666666668,0.2635777189189189,0.1953069513513512,0.2540415815789472
164.1866,0.23871,0.2633134594594595,0.2656232648648647,0.19299070270270272,0.24834926750000003
164.5466,0.27703,0.27312740000000063,0.2676047972972972,0.19295489729729753,0.24508226749999995
164.9066,0.24768,0.28143277837837866,0.262028389189189,0.20069976216216198,0.22982465526315807
165.0966,0.23153,0.27767899459459494,0.2575505513513513,0.19387104000000047,0.23707937777777705
165.2766,0.24578,0.28126799999999985,0.2531342756756755,0.1872470400000003,0.23390490000000014
165.6366,0.25813,0.27461160000000107,0.24539706153846172,0.19729744864864857,0.23919447631578913
165.9966,0.25634,0.26692268888888915,0.24215009189189185,0.21005564210526295,0.2314947999999999
166.3666,0.25909,0.28202130810810805,0.2460410783783788,0.21229,0.2424011081081084
166.7266,0.26331,0.2764047444444447,0.25789831081081066,0.20613715675675676,0.23521398157894766
167.0866,0.26521,0.2631465297297299,0.2775509918918919,0.20215101052631565,0.23742077837837852
167.4466,0.25338,0.25349039999999995,0.27939,0.20120556756756758,0.2519253974999993
167.8166,0.25813,0.2594848972972972,0.27975641891891884,0.20197004210526326,0.2563834894736844
168.1766,0.26193,0.27545302222222295,0.28153303333333335,0.20584061621621644,0.25635851842105273
168.5366,0.25286,0.2918620864864866,0.27639305945945947,0.20247387368421063,0.2576210297297298
168.8966,0.24251,0.3007109000000004,0.2746981736842105,0.19497425945945931,0.2608202500000002
169.2666,0.2575,0.30885,0.2683552621621623,0.20858032432432488,0.2666690184210526
169.6266,0.25095,0.30406933333333364,0.2770439864864867,0.21842963,0.26761824594594597
169.9866,0.26542,0.30959035675675856,0.27129946486486484,0.21558820540540524,0.266107328947368
170.3566,0.26816,0.33294423333333434,0.2784749054054053,0.2201701405405404,0.25817
170.7166,0.26816,0.3094718947368429,0.28679382432432443,0.23581200000000047,0.2568784475
171.0766,0.27176,0.32058540000000024,0.3033572216216223,0.24747725405405438,0.2544427894736845
171.4366,0.28326,0.32077152432432443,0.3186622081081079,0.25146748108108113,0.2630541552631579
171.8066,0.26489,0.3196318666666667,0.35879376756756703,0.2597604324324327,0.2746498473684211
171.9866,0.28104,0.3271618666666673,0.35494269999999967,0.26841989189189236,0.2751248333333333
172.1666,0.29794,0.33621610810810787,0.34796270000000024,0.27515090526315755,0.2754241473684208
172.5266,0.30945,0.3501064888888889,0.3509014702702703,0.27939191351351333,0.28503696315789484
172.8866,0.30712,0.35719575135135,0.37514380256410085,0.26937,0.29058854210526314
173.2566,0.31356,0.39098454444444464,0.38669733783783783,0.269472454054054,0.29031064864864864
173.6166,0.34756,0.421810972972973,0.415158337837839,0.2706939578947368,0.300144971052632
173.9766,0.33542,0.4227813333333335,0.41148705135135155,0.27780686153846085,0.3163269864864864
174.3366,0.37227,0.4230466461538468,0.40868,0.30062608421052767,0.3144668149999999
174.7066,0.39613,0.45000876756756814,0.39795337027027017,0.3166487459459462,0.32359193157894783
175.0666,0.37111,0.4983251999999992,0.4261964513513494,0.32149819459459467,0.3250350052631579
175.4266,0.34017,0.5085908324324305,0.45227244324324395,0.32807335135135113,0.3187683810810808
175.7866,0.37015,0.46172,0.44723620000000014,0.3202409189189191,0.3082811289473684
176.1566,0.39518,0.4601536108108111,0.4373723486486489,0.30354970526315783,0.2988164135135134
176.5166,0.43255,0.44787524444444266,0.4345303675675676,0.30483737297297303,0.29160910789473643
176.8766,0.37818,0.4222040324324323,0.4189450054054053,0.29373215135135167,0.3025672394736848
177.2366,0.37818,0.4243107555555554,0.4046570783783779,0.2755813837837837,0.31669
177.5966,0.33214,0.39274589189189185,0.3957823324324324,0.2694434315789475,0.32021406250000006
177.9666,0.33732,0.38557315555555555,0.37983476216216205,0.2646182810810812,0.3313015500000002
178.3266,0.31557,0.3819410054054051,0.3528620666666662,0.24814282162162163,0.34494626486486535
178.5066,0.3143,0.37272695135135153,0.3388973702702707,0.24335678918918932,0.3490230216216216
178.6666,0.32381,0.36498617777777775,0.3356065594594598,0.24193408648648657,0.35156977894736835
179.0466,0.3086,0.3617472540540543,0.3391186648648656,0.24943302000000053,0.3804347027027036
179.4166,0.32602,0.3648412000000017,0.327873943243244,0.2823897297297285,0.39534433157894716
179.7766,0.30375,0.32736986666666684,0.31081677027027027,0.29691,0.4055568631578952
180.1166,0.28221,0.33346221621621625,0.30028251891891894,0.3081547999999999,0.41949658918919014
180.4766,0.29488,0.33960993333333345,0.31229783076922885,0.3145146210526318,0.4388482921052631
180.8366,0.28453,0.33647510270270153,0.34981,0.32369010810810794,0.46765776578947504
181.1966,0.27809,0.29900591351351435,0.36000444054053954,0.34181764444444446,0.5220180799999996
181.5666,0.265,0.2893027891891888,0.3849059694444444,0.3659127891891886,0.5351569810810811
181.9266,0.27957,0.2991395459459465,0.3923501216216226,0.3885561157894742,0.5614565184210538
182.2866,0.25307,0.34607984444444345,0.4039575842105263,0.4017233405405407,0.5867589189189187
182.6466,0.21495,0.34725,0.43273835945945943,0.4051772648648657,0.5952708684210528
183.0066,0.21305,0.3535716777777778,0.4315073297297296,0.4203277621621621,0.6140318918918916
183.3766,0.31145,0.36739848648648654,0.4379954837837834,0.4254393621621621,0.6222007842105263
183.7366,0.31145,0.36935211111111116,0.446636875,0.43472536842105297,0.6050712157894722
184.0966,0.30206,0.39801919999999946,0.44119105675675674,0.4447727675675678,0.59499
184.4566,0.29424,0.3850435999999996,0.44060432972972985,0.43132188717948694,0.5933011999999999
